date,time,sym,qty,px
2018-01-10,12:09:01.385,aapl,4800,173.2873
2018-01-03,12:46:01.193,googl,500,1073.684
2018-01-08,20:45:52.274,googl,8600,1084.942
2018-01-01,20:27:08.197,googl,2200,1101.968
2018-01-18,13:05:50.541,aapl,4800,175.6068
2018-01-15,23:37:45.628,aapl,2600,174.3946
2018-01-10,06:47:02.682,amzn,1900,1204.47
2018-01-19,21:45:30.452,aapl,5500,172.8965
2018-01-18,11:25:53.445,amzn,1200,1192.995
2018-01-09,16:21:14.910,aapl,500,172.2263
2018-01-25,04:07:07.595,aapl,7600,173.511
2018-01-14,03:22:49.917,amzn,4300,1194.188
2018-01-31,17:32:30.776,aapl,9100,175.2146
2018-01-18,15:47:55.671,amzn,7100,1197.759
2018-01-27,19:03:20.750,amzn,2300,1220.518
2018-01-24,20:51:41.801,amzn,1800,1210.51
2018-01-28,12:07:21.998,amzn,6000,1218.118
2018-01-13,18:21:05.161,aapl,5300,172.5888
2018-01-13,20:25:58.509,amzn,1200,1218.126
2018-01-03,11:35:13.719,googl,4600,1082.652
2018-01-05,03:13:22.778,aapl,7100,172.3524
2018-01-06,01:26:29.905,amzn,2500,1192.228
2018-01-13,08:46:04.761,amzn,1800,1210.413
2018-01-29,04:42:41.457,googl,7600,1103.861
2018-01-21,09:36:08.784,amzn,7800,1220.324
2018-01-31,21:55:36.328,aapl,8900,175.2036
2018-01-03,05:27:55.434,amzn,10000,1213.419
2018-01-31,19:01:02.988,aapl,8800,173.1874
2018-01-14,16:10:13.387,googl,3000,1074.511
2018-01-30,00:42:09.536,amzn,5500,1199.99
2018-01-24,15:13:03.964,aapl,6000,176.1974
2018-01-25,08:35:51.109,googl,500,1087.828
2018-01-22,14:40:33.472,aapl,8700,172.0576
2018-01-07,19:21:40.832,googl,8600,1092.911
2018-01-27,08:12:43.345,aapl,6900,174.3322
2018-01-05,04:42:08.234,aapl,1500,172.2852
2018-01-13,17:54:05.495,googl,6000,1086.94
2018-01-02,16:58:19.059,googl,1400,1095.106
2018-01-29,12:47:14.478,googl,7600,1080.296
2018-01-04,23:35:06.083,aapl,6300,174.8952
2018-01-14,15:45:01.412,amzn,6300,1194.877
2018-01-20,19:40:56.330,googl,1900,1102.861
2018-01-08,02:24:40.646,amzn,2200,1213.417
2018-01-31,12:57:20.808,aapl,5600,175.6681
2018-01-09,07:04:57.530,amzn,7800,1196.636
2018-01-19,09:35:35.924,amzn,2400,1195.791
2018-01-02,15:14:03.537,aapl,6400,174.1856
2018-01-21,10:45:05.142,amzn,3500,1189.7
2018-01-03,23:37:44.795,googl,4200,1076.549
2018-01-25,20:30:24.362,amzn,3200,1192.038
2018-01-17,07:23:39.994,amzn,3700,1200.287
2018-01-29,20:15:29.120,aapl,4300,173.3968
2018-01-06,16:17:39.845,aapl,8000,173.8114
2018-01-09,06:56:52.410,googl,4200,1083.403
2018-01-22,06:09:51.007,googl,5200,1101.393
2018-01-31,20:57:30.887,googl,6700,1076.49
2018-01-28,08:09:41.301,aapl,8200,176.5377
2018-01-19,08:28:20.262,googl,4400,1085.798
2018-01-16,07:14:59.351,googl,9600,1078.736
2018-01-27,07:28:52.507,amzn,5700,1197.752
2018-01-09,04:22:50.962,aapl,2900,173.5446
2018-01-30,01:53:42.097,aapl,2000,175.5854
2018-01-14,05:17:03.104,aapl,1800,172.6471
2018-01-07,11:31:10.263,aapl,8800,172.9475
2018-01-10,23:45:59.229,amzn,8300,1221.538
2018-01-17,09:46:42.918,amzn,4600,1213.811
2018-01-30,15:03:41.096,googl,4100,1090.641
2018-01-01,17:33:51.826,googl,3300,1090.956
2018-01-01,00:53:31.660,amzn,3800,1211.407
2018-01-15,05:00:12.312,amzn,2600,1214.283
2018-01-28,01:11:57.854,googl,3900,1073.917
2018-01-15,10:31:34.489,googl,5500,1073.467
2018-01-30,18:34:00.608,aapl,7800,176.7118
2018-01-13,00:16:31.025,aapl,6800,174.9644
2018-01-15,13:35:07.084,aapl,4100,176.9634
2018-01-10,17:58:59.409,googl,9100,1097.495
2018-01-22,14:52:11.083,amzn,4800,1215.891
2018-01-03,08:47:53.561,aapl,700,176.6291
2018-01-28,10:03:33.615,googl,5400,1076.869
2018-01-31,16:15:38.478,aapl,800,176.8447
2018-01-20,00:44:37.591,amzn,8800,1198.791
2018-01-29,21:43:56.734,amzn,3100,1194.836
2018-01-13,20:59:08.984,amzn,9700,1205.349
2018-01-10,17:50:31.268,amzn,2800,1210.165
2018-01-11,13:28:01.855,googl,2800,1103.119
2018-01-30,21:11:37.244,amzn,2200,1222.949
2018-01-15,03:13:29.907,aapl,1400,173.4068
2018-01-22,22:22:40.192,aapl,6500,176.0574
2018-01-26,15:35:39.460,googl,3200,1102.063
2018-01-24,22:44:32.613,googl,4600,1098.913
2018-01-29,09:59:13.341,amzn,4000,1219.235
2018-01-23,04:34:15.435,aapl,2800,173.7018
2018-01-07,13:09:01.552,amzn,6800,1224.046
2018-01-21,21:21:55.028,googl,9600,1096.336
2018-01-08,16:54:39.391,googl,9500,1074.56
2018-01-25,04:03:04.576,googl,8300,1105.108
2018-01-21,18:22:39.411,googl,6600,1099.469
2018-01-05,17:05:44.477,googl,1600,1101.989
2018-01-07,05:08:40.857,aapl,4500,175.3328
2018-01-11,07:35:50.127,amzn,6100,1218.42
